User,favoriteColor,yearOfBirth,country,easyNav,colorblind,device,userID,easyRead,avgNumberOPurchases,appealingColor,gender,T. scene time (ms),Scene R.T (ms),Selection R.T (ms),Nº Options offered,R.T / Nº options,Nº change opinion,Nº characters/second,Nº words/second,Nº characters removed,Nº times left and right arrows,Ideal D. mouse position and comp,Real D. mouse position and comp,Difference real e ideal D.,Mouse movement T. (ms),S. mouse/real D.,S. mouse/ideal D.,Mouse corrections,pixel precision,pixel % precision,Nº error cliks,Deviation
"YZL53093957256116895692393327162023","purple",2004,"-",7,"yes","computer","2",7,1,7,"female",8108,6047,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"OPK92648699060616889872231497102023","green",2014,"CA",7,"yes","computer","2",7,5,7,"female",2622,184,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"NRU43756051176916891647674667122023","other",2004,"PK",5,"no","computer","1",5,3,4,"female",12723,981,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"SGT20590668924216890637620137112023","red",1979,"ES",7,"no","computer","1",7,2,7,"male",133497,3419,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"FIO25026002577716890206810927102023","blue",1972,"DE",7,"no","smartphone","2",7,2,7,"female",18859,5858,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",2,"-"
"LVM10229432688916890620362497112023","orange",2003,"DE",1,"no","smartphone","1",4,1,1,"other",1975,1973,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"RAR80136573213316889896642427102023","green",1999,"FR",7,"no","computer","1",7,1,7,"male",211438,2995,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,"-"
"XEZ37673730370916890693396557112023","orange",1973,"ES",6,"no","computer","2",3,1,2,"male",2179,894,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"ESP88602724597316890052431767102023","red",1968,"FR",3,"no","computer","2",6,1,3,"female",8158,4460,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",2,"-"
"TXY58420680896616893941555827152023","green",2004,"PK",4,"no","computer","1",7,1,3,"male",18471,4697,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",3,"-"
"YZH23548498295816890808136617112023","orange",1998,"DE",5,"no","computer","2",4,1,1,"female",8034,138,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",3,"-"
"YEU36164065752716890098309807102023","other",1999,"FR",2,"yes","computer","1",2,1,2,"male",1932,57,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,"-"
"ZKA44642929393416890672949117112023","blue",1993,"FR",4,"no","smartphone","2",5,1,4,"male",34347,1678,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",2,"-"
"ILW98305524501016890973493857112023","red",2002,"PK",1,"no","computer","1",2,1,1,"male",2967,2105,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"IMJ44036312781616890631840667112023","green",1966,"ES",5,"no","computer","2",6,1,5,"male",1386,80,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
